1000 und 1 Nacht; Liederballon_11
Fallersleben: Eine kleine Geige; Liederwelt_14
Fein sein (Österreich); Liederwelt_14
Jung: Frieden allezeit; Liederwelt_14
Früher...; Liederwelt_14
K.W. Hoffmann: Gesichter; Liederwelt_14
Mr. President: Give a little love; Liederwelt_14
Gut Nacht; Liederwelt_14
Hurra, der Pumuckel ist da; Liederwelt_14
Eurythmics: I save the world today; Liederwelt_14
Backstreet Boys: I want it that way; Liederwelt_14
M. Carras: Ich bin dein Co-Pilot; Liederwelt_14
Ich bin dein Engel; Liederwelt_14
Ich bin ich; Liederwelt_14
Ich hört' ein Sichlein rauschen; Liederwelt_14
Ich sehe oft um Mitternacht; Liederwelt_14
R. Kelly: If I could turn back; Liederwelt_14
Niehaus: Jeder Tag hat sein Geheimnis; Liederwelt_14
Káplja dózdevája (Russland); Liederwelt_14
Karga (Türkei); Liederwelt_14
Kartoffellied; Liederwelt_14
Kato sto yalo (Griechenland); Liederwelt_14
Kiss me (Sixpence non the Richer); Liederwelt_14
Kui ma hakkan (Estland); Liederwelt_14
Luullahan (Finnland); Liederwelt_14
Bega: Mambo No 5; Liederwelt_14
Mäuschen, lass dich nicht erwischen; Liederwelt_14
Mein Hannchen . Mignons Lied; Liederwelt_14
Noah; Liederwelt_14
Oh alte Burschenherrlichkeit; Liederwelt_14
Pick a bale; Liederwelt_14
Pumuckellied; Liederwelt_14
Reim dich, oder ich fress dich; Liederwelt_14
Ritter Ewald und die Minna; Liederwelt_14
Se va, se va (Peru); Liederwelt_14
Simi jadeck (Israel); Liederwelt_14
Oli P.: So bist du; Liederwelt_14
Milva: Stark sein; Liederwelt_14
Collins: Strangers like me; Liederwelt_14
Sweet Betsy (Amerika); Liederwelt_14
Zuckowski: Tage voller Glücksminuten; Liederwelt_14
Tala'al-badru alina (Marokko); Liederwelt_14
Dion: That's the way it is; Liederwelt_14
Twinkle, twinkle, little star (England); Liederwelt_14
Und der Hans schleicht umher; Liederwelt_14
Vertrauen; Liederwelt_14
Wanderers Nachtlied; Liederwelt_14
Wär ich ein Vögelein; Liederwelt_14
Sasha: We can leave the world; Liederwelt_14
Echt: Weinst du; Liederwelt_14
Petry: Weiß der Geier; Liederwelt_14
Wenn grün die Eichen stehen; Liederwelt_14
Wenn jemand eine Reise tut; Liederwelt_14
Werft den Wirt zum Fenster raus; Liederwelt_14
Spohr: Wie ein stolzer Adler; Liederwelt_14
Zuckowski: Wir Optimisten; Liederwelt_14
Collins: You'll be in my heart; Liederwelt_14
